gameweek,sota_engine_points,bank,free_transfers,transfers_made,hits_cost,captain_id,auto_subs_used,active_chip,cumulative_points
2,75,25.0,2,0,4,13,0,None,75
3,79,25.0,3,0,0,14,0,None,154
